"adjective","prop_item_correct","gbooks_freq"
"dynamic",0.43956043956044,-0.093
"eager",0.840909090909091,-0.239
"eagle-eyed",0.91566265060241,NA
"earnest",0.69047619047619,0.371
"earthly-minded",0.896551724137931,NA
"earthly-wise",0.585106382978723,NA
"earthy",0.40983606557377,-0.206
"easeless",0.698630136986301,NA
"easygoing",0.642857142857143,-0.246
"ebullient",0.449438202247191,-0.254
"eccentric",0.818181818181818,-0.253
"eclectic",0.513157894736842,-0.254
"economical",0.788235294117647,-0.255
"economizing",0.72093023255814,-0.256
"edgy",0.911764705882353,-0.24
"educable",0.76271186440678,NA
"educated",0.898550724637681,0.523
"effective",0.873563218390805,2.779
"effeminate",0.82716049382716,-0.222
"effervescent",0.727272727272727,-0.254
"efficient",0.80952380952381,-0.209
"effusive",0.32183908045977,-0.246
"egocentric",0.9375,-0.242
"egotistical",0.935483870967742,-0.241
"elderly",0.945205479452055,0.31
"elegant",0.901234567901235,0.142
"elfish",0.528735632183908,NA
"eloquent",0.770114942528736,-0.045
"elusive",0.666666666666667,-0.253
"emasculated",0.894117647058824,-0.253
"embarrassed",0.758241758241758,-0.254
"embarrassing",0.73,-0.11
"embellishing",0.833333333333333,-0.254
"embittered",0.792682926829268,-0.221
"embracing",0.845238095238095,-0.246
"emergent",0.85,-0.123
"emotional",0.864583333333333,1.194
"emotionless",0.971428571428571,-0.253
"empathetic",0.917647058823529,-0.239
"empathic",0.821052631578947,-0.233
"emphatic",0.357142857142857,-0.151
"empirical",0.666666666666667,-0.154
"employed",0.773809523809524,-0.238
"empowering",0.524390243902439,-0.183
"encouraged",0.84375,0.666
"encouraging",0.634782608695652,0.204
"encumbered",0.743589743589744,-0.222
"encyclopedic",0.605263157894737,-0.246
"energetic",0.901234567901235,-0.253
"engaging",0.614457831325301,0.153
"enigmatic",0.625,-0.209
"enlightened",0.844444444444444,0.025
"enterprising",0.790697674418605,-0.178
"entertaining",0.916666666666667,-0.049
"enthusiastic",0.942528735632184,0.069
"envious",0.923076923076923,-0.181
"equalitarian",0.970149253731343,NA
"equitable",0.704545454545455,-0.242
"equivocal",0.26,-0.213
"equivocating",0.258426966292135,NA
"erotic",0.95,-0.118
"erratic",0.702380952380952,-0.186
"erudite",0.564102564102564,-0.235
"esoteric",0.556962025316456,-0.254
"ethereal",0.6,-0.196
"ethical",0.923076923076923,0.665
"ethnocentric",0.686046511627907,-0.246
"evangelistic",0.72289156626506,-0.237
"evasive",0.9,-0.224
"even-handed",0.792682926829268,NA
"evil",0.932584269662921,-0.1
"exact",0.928571428571429,0.773
"exacting",0.671875,-0.178
"exaggerative",0.923913043478261,NA
"exasperated",0.779220779220779,-0.18
"excellent",0.855263157894737,-0.163
"exceptional",0.728260869565217,0.1
"excessive",0.715596330275229,0.36
"excitable",0.887640449438202,-0.227
"excited",0.896103896103896,-0.248
"exciting",0.893617021276596,0.231
"exclusive",0.796875,0.381
"exhausted",0.976744186046512,-0.247
"exhaustible",0.934065934065934,NA
"exhaustive",0.520833333333333,-0.13
"exhibitionistic",0.868131868131868,NA
"expansive",0.91304347826087,-0.152
"expectant",0.816091954022989,-0.198
"expedient",0.118421052631579,-0.066
"expeditious",0.670588235294118,-0.241
"experienced",0.9,-0.238
"experiential",0.682352941176471,-0.249
"experimenting",0.795698924731183,-0.189
"explicit",0.532608695652174,-0.232
"exploitative",0.816666666666667,-0.231
"explosive",0.915492957746479,-0.07
"expressive",0.865853658536585,-0.248
"extraordinary",0.896551724137931,0.785
"extravagant",0.89873417721519,-0.073
